SystemTime,UTC,Packet,SampleTime,Roll,Pitch,Yaw,Qw,Qx,Qy,Qz,AccX,AccY,AccZ,FreeAccX,FreeAccY,FreeAccZ,DeltaVX,DeltaVY,DeltaVZ,GyroX,GyroY,GyroZ,DeltaQ0,DeltaQ1,DeltaQ2,DeltaQ3,MagX,MagY,MagZ,Pressure,Temperature,Latitude,Longitude,Altitude,HeightMSL,VelN,VelE,VelD,GroundSpeed,HeadingMotion,HeadingVehicle,HorizAccuracy,VertAccuracy,SpeedAccuracy,HeadingAccuracy,Satellites,FixType,Flags,ValidFlags,GDOP,PDOP,TDOP,VDOP,HDOP,NDOP,EDOP,StatusWord,StatusByte,RTKState,CarrierState,Differential,ClockSync,FilterValid,GNSSValid,NavQuality
1783595343.642156,,11258,,-0.8872665239722862,-2.3996898640219753,132.28935619532479,0.40447603216247974,0.0160195356119743,-0.015548126218518636,0.9142760904978136,0.40714192390441895,-0.15240100026130676,9.852779388427734,,,,,,,0.0016929581761360168,-0.0034295024815946817,0.0023854896426200867,,,,,0.01858806610107422,-0.14535045623779297,-0.98455810546875,,,,,,,,,,,,,,,,,,,,,,,,,,,,92274759,,0,0,True,False,False,True,0
1783595344.8923204,,11392,,-0.8884668705098939,-2.4044184669707374,132.4189878697556,0.40344161071790696,0.016070639824770732,-0.015556211689961746,0.9147319856410512,0.4099922776222229,-0.14945632219314575,9.84508228302002,,,,,,,0.002062672981992364,-0.003811707952991128,0.0031913230195641518,,,,,0.01859116554260254,-0.1491856575012207,-0.9843423366546631,,,,,,,,,,,,,,,,,,,,,,,,,,,,92274759,,0,0,True,False,False,True,0
1783595345.1754916,,11424,,-0.889559544538601,-2.403595303959483,132.4427711192968,0.4032519142209619,0.016063450502154585,-0.015558704440100943,0.9148157114693867,0.41113460063934326,-0.14830850064754486,9.851913452148438,,,,,,,0.0013818965526297688,-0.0037878751754760742,0.00272262841463089,,,,,0.022965431213378906,-0.14632916450500488,-0.9825460910797119,,,,,,,,,,,,,,,,,,,,,,,,,,,,92274759,,0,0,True,False,False,True,0
1783595346.1414533,,11527,,-0.8924869790641922,-2.407705316168187,132.54433388580918,0.4024413159482723,0.016099781715963667,-0.015582264358192637,0.915171556203531,0.4095321595668793,-0.1577262133359909,9.848588943481445,,,,,,,0.001122616115026176,-0.0032514333724975586,0.002357550198212266,,,,,0.019112586975097656,-0.14595246315002441,-0.9864537715911865,,,,,,,,,,,,,,,,,,,,,,,,,,,,92274759,,0,0,True,False,False,True,0
1783595347.526044,,11667,,-0.895146591708852,-2.405025590737479,132.66531826498525,0.4014752685708659,0.016085491968132873,-0.015577126761945973,0.9155961002515992,0.4112130105495453,-0.14686337113380432,9.858565330505371,,,,,,,0.0018233436858281493,-0.003851950401440263,0.002527795732021332,,,,,0.02250051498413086,-0.14591717720031738,-0.9840214252471924,,,,,,,,,,,,,,,,,,,,,,,,,,,,92274759,,0,0,True,False,False,True,0
1783595348.9911733,,11821,,-0.8940966300781462,-2.405942654585799,132.80898723169796,0.40032686871552453,0.016116009658123896,-0.015551754850627183,0.916098693011942,0.415600061416626,-0.1493174135684967,9.851659774780273,,,,,,,0.0015560844913125038,-0.003970762714743614,0.0022060826886445284,,,,,0.022525787353515625,-0.14551877975463867,-0.9854929447174072,,,,,,,,,,,,,,,,,,,,,,,,,,,,92274759,,0,0,True,False,False,True,0
1783595349.4248548,,11869,,-0.893947371853211,-2.405301651935232,132.85185272923678,0.39998413978668507,0.016117220949390033,-0.015542296025440053,0.9162485253151744,0.41040387749671936,-0.15506353974342346,9.84211540222168,,,,,,,0.0017141923308372498,-0.0036317857448011637,0.0023955481592565775,,,,,0.020539045333862305,-0.14442157745361328,-0.9841163158416748,,,,,,,,,,,,,,,,,,,,,,,,,,,,92274759,,0,0,True,False,False,True,0
1783595350.142965,,11932,,-0.8959620283002199,-2.4043139629762287,132.90936618036156,0.39952451863016325,0.01611009527682561,-0.015546876116897214,0.916449081229565,0.4024873375892639,-0.15414315462112427,9.84809398651123,,,,,,,0.0015398490941151977,-0.0035528098233044147,0.0020300971809774637,,,,,0.01802825927734375,-0.1432020664215088,-0.9808170795440674,,,,,,,,,,,,,,,,,,,,,,,,,,,,92274759,,0,0,True,False,False,True,0
1783595350.2921822,,11947,,-0.8973415912621897,-2.4031352609239014,132.92145579284863,0.39942803567937757,0.016097498230448447,-0.015552104519801243,0.9164912694123386,0.41334953904151917,-0.15827688574790955,9.84791374206543,,,,,,,0.001112557714805007,-0.003707036143168807,0.0026507298462092876,,,,,0.019114255905151367,-0.14787006378173828,-0.9863457679748535,,,,,,,,,,,,,,,,,,,,,,,,,,,,92274759,,0,0,True,False,False,True,0
1783595355.2767646,,12474,,-0.9084980437342262,-2.400607245971498,133.41845124132982,0.39545096807338365,0.016106037607648747,-0.015562820489535098,0.9182139870535709,0.4179328680038452,-0.14846330881118774,9.850361824035645,,,,,,,0.00141714490018785,-0.0036418517120182514,0.0027495480608195066,,,,,0.01958632469177246,-0.14687132835388184,-0.9854331016540527,,,,,,,,,,,,,,,,,,,,,,,,,,,,92274759,,0,0,True,False,False,True,0
1783595355.8618424,,12538,,-0.9101414152211577,-2.4022079896870245,133.48317599058362,0.3949324876108003,0.01612199320649646,-0.015572404841607504,0.9184366672623887,0.41248854994773865,-0.15208427608013153,9.849410057067871,,,,,,,0.0017000362277030945,-0.004035979975014925,0.0023139643017202616,,,,,0.019077062606811523,-0.14392662048339844,-0.9846353530883789,,,,,,,,,,,,,,,,,,,,,,,,,,,,92274759,,0,0,True,False,False,True,0
1783595356.9990432,,12654,,-0.9098929311720968,-2.4022644142220613,133.60434476775075,0.39396107931005075,0.016139757188936333,-0.015553550153258516,0.9188537768896486,0.41200491786003113,-0.15431588888168335,9.850776672363281,,,,,,,0.002102367579936981,-0.003604963654652238,0.002398527693003416,,,,,0.02104783058166504,-0.1464076042175293,-0.9849677085876465,,,,,,,,,,,,,,,,,,,,,,,,,,,,92274759,,0,0,True,False,False,True,0
1783595357.7433825,,12732,,-0.9080582932032476,-2.398771776716872,133.66010837852295,0.3935136621334011,0.016125608745015115,-0.01551899549216635,0.9190463118014652,0.41627371311187744,-0.14947493374347687,9.847129821777344,,,,,,,0.0018300489755347371,-0.0033196068834513426,0.0028172507882118225,,,,,0.0224761962890625,-0.14727401733398438,-0.9824957847595215,,,,,,,,,,,,,,,,,,,,,,,,,,,,92274759,,0,0,True,False,False,True,0
1783595358.6957037,,12830,,-0.9084322432808298,-2.398872098839174,133.7678065641838,0.39264978018652047,0.016139710749654125,-0.015507176929312555,0.9194156771124135,0.4194793403148651,-0.15452420711517334,9.854955673217773,,,,,,,0.0019220635294914246,-0.003239884739741683,0.0023281199391931295,,,,,0.02302384376525879,-0.14508056640625,-0.9859976768493652,,,,,,,,,,,,,,,,,,,,,,,,,,,,92274759,,0,0,True,False,False,True,0
1783595360.5762362,,13025,,-0.9096758678717101,-2.3977288763932876,133.96371630369907,0.3910775260915621,0.016152773999245147,-0.015485648119099707,0.9200856760001018,0.412727415561676,-0.15019509196281433,9.860098838806152,,,,,,,0.0016355890547856688,-0.0034313653595745564,0.0023322179913520813,,,,,0.01961207389831543,-0.14695262908935547,-0.9868776798248291,,,,,,,,,,,,,,,,,,,,,,,,,,,,92274759,,0,0,True,False,False,True,0
1783595361.1287253,,13083,,-0.9112870627747462,-2.396069553843214,134.01838084526554,0.39063880515602933,0.016141339181136707,-0.015485228054090177,0.9202722362365509,0.4131665527820587,-0.1502898782491684,9.854202270507812,,,,,,,0.0011662021279335022,-0.003536418778821826,0.002507679397240281,,,,,0.020574092864990234,-0.14548873901367188,-0.9859883785247803,,,,,,,,,,,,,,,,,,,,,,,,,,,,92274759,,0,0,True,False,False,True,0
1783595361.343553,,13108,,-0.9120765265582116,-2.3968499559922627,134.04711012861557,0.39040817668461963,0.01614880018787989,-0.015490178245879997,0.9203698855396093,0.40922266244888306,-0.1542953997850418,9.854619979858398,,,,,,,0.00150110584218055,-0.003668665885925293,0.0018792226910591125,,,,,0.02200174331665039,-0.14539623260498047,-0.9835703372955322,,,,,,,,,,,,,,,,,,,,,,,,,,,,92274759,,0,0,True,False,False,True,0
1783595362.3273401,,13211,,-0.910979942199859,-2.3953574375972453,134.15035729729954,0.3895786197078521,0.016154484589631254,-0.015461740871497204,0.9207217094558978,0.4090392589569092,-0.14526139199733734,9.85804271697998,,,,,,,0.0012901254231110215,-0.0038586421869695187,0.0023249073419719934,,,,,0.01959514617919922,-0.14737796783447266,-0.9858875274658203,,,,,,,,,,,,,,,,,,,,,,,,,,,,92274759,,0,0,True,False,False,True,0
1783595363.0794706,,13285,,-0.9138752624203808,-2.3977598255009456,134.21798286178043,0.38903558489136275,0.016173087158102385,-0.01548362346401621,0.9209505971247515,0.4104151427745819,-0.15309393405914307,9.858526229858398,,,,,,,0.002024306682869792,-0.004041536245495081,0.002841553185135126,,,,,0.019568443298339844,-0.1458585262298584,-0.9845240116119385,,,,,,,,,,,,,,,,,,,,,,,,,,,,92274759,,0,0,True,False,False,True,0
